SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1046,['potpie' 'triumphal arch' 'standard poodle' 'sewing machine' 'crane' 'sea cucumber' 'fly' 'bighorn' 'American lobster' 'moving van'],56.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1047,['banana' 'scoreboard' 'ice lolly' 'mashed potato' 'meat loaf' 'thatch' 'go-kart' 'European fire salamander' 'acorn' 'Arabian camel'],56.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1047,['banana' 'scoreboard' 'ice lolly' 'mashed potato' 'meat loaf' 'thatch' 'go-kart' 'European fire salamander' 'acorn' 'Arabian camel'],56.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1048,['flagpole' 'sandal' 'cockroach' 'dining table' 'moving van' 'confectionery' 'magnetic compass' 'tarantula' 'monarch' 'sports car'],55.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1048,['flagpole' 'sandal' 'cockroach' 'dining table' 'moving van' 'confectionery' 'magnetic compass' 'tarantula' 'monarch' 'sports car'],57.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1049,['desk' 'teapot' 'school bus' 'brass' 'golden retriever' 'gondola' 'abacus' 'chain' 'dam' 'oboe'],54.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1049,['desk' 'teapot' 'school bus' 'brass' 'golden retriever' 'gondola' 'abacus' 'chain' 'dam' 'oboe'],52.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1050,['potpie' 'monarch' 'barbershop' 'golden retriever' 'brass' 'mantis' 'Labrador retriever' 'bell pepper' 'broom' 'steel arch bridge'],57.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1050,['potpie' 'monarch' 'barbershop' 'golden retriever' 'brass' 'mantis' 'Labrador retriever' 'bell pepper' 'broom' 'steel arch bridge'],57.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1051,"[""potter's wheel"" 'American lobster' 'water tower' 'barrel' 'lakeside' 'walking stick' 'backpack' 'chest' 'mushroom' 'seashore']",48.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1051,"[""potter's wheel"" 'American lobster' 'water tower' 'barrel' 'lakeside' 'walking stick' 'backpack' 'chest' 'mushroom' 'seashore']",54.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1052,"['American lobster' 'go-kart' ""potter's wheel"" 'computer keyboard' 'flagpole' 'Labrador retriever' 'baboon' 'cockroach' 'brown bear' 'spider web']",51.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1052,"['American lobster' 'go-kart' ""potter's wheel"" 'computer keyboard' 'flagpole' 'Labrador retriever' 'baboon' 'cockroach' 'brown bear' 'spider web']",55.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1053,['beer bottle' 'hog' 'grasshopper' 'dumbbell' 'altar' 'convertible' 'steel arch bridge' 'bullet train' 'dining table' 'dam'],56.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1053,['beer bottle' 'hog' 'grasshopper' 'dumbbell' 'altar' 'convertible' 'steel arch bridge' 'bullet train' 'dining table' 'dam'],54.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1054,"['bullfrog' 'comic book' ""potter's wheel"" 'Christmas stocking' 'jellyfish' 'cardigan' 'organ' 'police van' 'turnstile' 'tailed frog']",60.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1054,"['bullfrog' 'comic book' ""potter's wheel"" 'Christmas stocking' 'jellyfish' 'cardigan' 'organ' 'police van' 'turnstile' 'tailed frog']",62.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1055,['barbershop' 'pizza' 'barrel' 'brain coral' 'go-kart' 'seashore' 'dining table' 'binoculars' 'volleyball' 'rocking chair'],54.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1055,['barbershop' 'pizza' 'barrel' 'brain coral' 'go-kart' 'seashore' 'dining table' 'binoculars' 'volleyball' 'rocking chair'],54.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1056,['trolleybus' 'trilobite' 'gazelle' 'fur coat' 'cliff dwelling' 'Christmas stocking' 'Yorkshire terrier' 'orange' 'miniskirt' 'mushroom'],60.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1056,['trolleybus' 'trilobite' 'gazelle' 'fur coat' 'cliff dwelling' 'Christmas stocking' 'Yorkshire terrier' 'orange' 'miniskirt' 'mushroom'],62.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1057,['CD player' 'cardigan' 'African elephant' 'rocking chair' 'alp' 'barrel' 'picket fence' 'chimpanzee' 'abacus' 'albatross'],51.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1057,['CD player' 'cardigan' 'African elephant' 'rocking chair' 'alp' 'barrel' 'picket fence' 'chimpanzee' 'abacus' 'albatross'],54.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1058,['organ' 'rugby ball' 'scorpion' 'bell pepper' 'hourglass' 'wooden spoon' 'maypole' 'turnstile' 'comic book' 'hog'],51.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1058,['organ' 'rugby ball' 'scorpion' 'bell pepper' 'hourglass' 'wooden spoon' 'maypole' 'turnstile' 'comic book' 'hog'],56.60%,True,100,25,10,0.00100,0.00,32x32x3
